season_year,team_id,team_abbreviation,team_name,gp,w,l,min,passes_made,passes_received,ast,ft_ast,secondary_ast,potential_ast,ast_points_created,ast_adj,ast_to_pass_pct,ast_to_pass_pct_adj
2016-17,1610612750,MIN,Minnesota Timberwolves,82,31,51,241.5,285.4,285.3,23.7,2.5,2.7,45.4,58.2,28.7,0.083,0.1
2016-17,1610612740,NOP,New Orleans Pelicans,82,34,48,242.7,298.4,298.4,22.8,2.2,2.4,46.2,57.1,27.2,0.076,0.091
2016-17,1610612752,NYK,New York Knicks,82,31,51,242.1,326.6,326.6,21.8,2.1,2.9,47.2,54.4,26.7,0.067,0.082
2016-17,1610612760,OKC,Oklahoma City Thunder,82,47,35,241.5,255.3,255.3,21,2.6,2.1,45.7,52.1,25.5,0.082,0.1
2016-17,1610612753,ORL,Orlando Magic,82,29,53,241.5,295.9,295.9,22.2,2.3,3,49.3,55.4,27.3,0.075,0.092
2016-17,1610612755,PHI,Philadelphia 76ers,82,28,54,241.8,352.4,352.4,23.8,2.5,2.7,49.4,60.5,28.7,0.067,0.081
2016-17,1610612756,PHX,Phoenix Suns,80,23,57,241.9,297.7,297.7,19.6,2.8,2.1,43.4,49.5,24.3,0.066,0.082
2016-17,1610612757,POR,Portland Trail Blazers,82,41,41,243.1,277.4,277.4,21.1,2.2,2.5,44.1,54.1,25.7,0.076,0.093
2016-17,1610612758,SAC,Sacramento Kings,82,32,50,242.4,317.6,317.6,22.5,2.3,2.6,46.2,56.2,27.2,0.071,0.086
2016-17,1610612759,SAS,San Antonio Spurs,81,61,20,241.5,316.3,316.3,23.9,1.9,3.3,45.2,59.2,29,0.076,0.092
2016-17,1610612761,TOR,Toronto Raptors,81,50,31,241.2,273.4,273.4,18.5,1.8,2.6,39.2,46.9,22.8,0.068,0.083
2016-17,1610612762,UTA,Utah Jazz,82,51,31,240.9,314.9,314.9,20.1,2.6,2.7,42.6,52.3,25.3,0.064,0.08
2016-17,1610612764,WAS,Washington Wizards,82,49,33,242.1,265.4,265.4,23.9,2.2,3,46.4,59.4,28.9,0.09,0.109
2015-16,1610612737,ATL,Atlanta Hawks,82,48,34,241.8,324.6,324.6,25.6,2,3.8,51.2,63.3,31.2,0.079,0.096
2015-16,1610612738,BOS,Boston Celtics,81,47,34,241.2,316.7,316.7,24,2.6,2.6,50.9,60,29.2,0.076,0.092
