season_year,team_id,team_abbreviation,team_name,gp,w,l,min,stl,blk,dreb,def_rim_fgm,def_rim_fga,def_rim_fg_pct
2020-21,1610612759,SAS,San Antonio Spurs,72,33,39,242.8,7,5.1,34.6,17.9,29.7,0.603
2020-21,1610612761,TOR,Toronto Raptors,72,27,45,240.3,8.6,5.4,32.1,15.9,24.8,0.64
2020-21,1610612762,UTA,Utah Jazz,72,52,20,241,6.6,5.2,37.6,15.8,25.8,0.614
2020-21,1610612764,WAS,Washington Wizards,72,34,38,241.7,7.3,4.1,35.5,16.1,26.2,0.615
2019-20,1610612737,ATL,Atlanta Hawks,67,20,47,243,7.8,5.1,33.4,19.9,31,0.642
2019-20,1610612738,BOS,Boston Celtics,72,48,24,242.1,8.3,5.6,35.4,16.1,25.8,0.623
2019-20,1610612751,BKN,Brooklyn Nets,72,35,37,242.8,6.4,4.5,37.3,15.7,25.5,0.617
2019-20,1610612766,CHA,Charlotte Hornets,64,23,41,242.3,6.6,4.1,31.8,19.2,29.4,0.651
2019-20,1610612741,CHI,Chicago Bulls,65,22,43,241.2,10,4.1,31.4,19.2,28.6,0.67
2019-20,1610612739,CLE,Cleveland Cavaliers,65,19,46,241.9,6.9,3.2,33.4,20.9,31.1,0.673
2019-20,1610612742,DAL,Dallas Mavericks,73,41,32,242.1,6.2,4.7,36.2,18,29,0.621
2019-20,1610612743,DEN,Denver Nuggets,73,46,27,243.1,8,4.6,33.4,17.6,27.5,0.641
2019-20,1610612765,DET,Detroit Pistons,65,20,45,241.9,7.4,4.6,32,18.8,29.1,0.646
2019-20,1610612744,GSW,Golden State Warriors,65,15,50,241.9,8.2,4.6,32.9,18.4,29.2,0.63
2019-20,1610612745,HOU,Houston Rockets,72,44,28,241.4,8.7,5.2,34.5,19.5,29.2,0.67
2019-20,1610612754,IND,Indiana Pacers,73,45,28,241.4,7.4,5.2,34.1,17.5,28.5,0.616
2019-20,1610612746,LAC,LA Clippers,72,49,23,241.4,7.1,4.7,37,15.6,25.2,0.619
2019-20,1610612747,LAL,Los Angeles Lakers,71,52,19,240.7,8.6,6.6,35.1,16.5,26.7,0.617
2019-20,1610612763,MEM,Memphis Grizzlies,73,34,39,240.7,7.9,5.5,36.2,16.3,26.7,0.61
2019-20,1610612748,MIA,Miami Heat,72,44,28,243.1,7.5,4.5,35.9,16.3,24.3,0.671
2019-20,1610612749,MIL,Milwaukee Bucks,72,55,17,241,7.2,5.8,42.3,12.4,23.2,0.536
2019-20,1610612750,MIN,Minnesota Timberwolves,64,19,45,243.1,8.7,5.7,34.3,19,29.7,0.639
2019-20,1610612740,NOP,New Orleans Pelicans,71,30,41,241.8,7.5,5,35.4,19.6,30.8,0.637
2019-20,1610612752,NYK,New York Knicks,66,21,45,241.9,7.6,4.7,34.5,16.2,24.7,0.655
2019-20,1610612760,OKC,Oklahoma City Thunder,72,44,28,242.1,7.6,4.9,34.7,17.6,28.5,0.617
2019-20,1610612753,ORL,Orlando Magic,73,33,40,240.7,8.2,5.4,34.2,16.4,26.4,0.621
2019-20,1610612755,PHI,Philadelphia 76ers,73,43,30,241,8,5.3,35,17.3,26.8,0.643
2019-20,1610612756,PHX,Phoenix Suns,72,34,38,240.7,7.7,4,33.5,18.3,28.5,0.641
2019-20,1610612757,POR,Portland Trail Blazers,73,34,39,241,6.2,6.1,35.1,17.1,28.1,0.609
